"BenchName","CodeletName","tar_app_cycles","tar_vivo_invocations","tar_vitro_invocations","tar_vitro_CPInv","tar_vivo_CPInv"
"ft","codelet_04wki9m9",1.99525e+11,20,10,1442644321.91,1461078852.2
"sp","codelet_0612t675",6.43329e+11,402,10,93760068.05,92681667.8333333
"bt","codelet_1q1uztgi",8.85494e+11,201,10,1184455151.99,1278263882.69154
"sp","codelet_2v56b796",6.43329e+11,401,10,69622257.76,68558857.8004988
"mg","codelet_2xepi1y9",33843900000,168,10,1468.61,43318270.0238095
"cg","codelet_3lkaf7j3",3.81766e+11,76,10,3868741529.29,4863573596.02632
"lu","codelet_5g6luxej",1.09677e+12,3,10,23615472.32,23914722.3333333
"cg","codelet_77bv9i9o",3.81766e+11,76,10,127816692.08,194352563.552632
"sp","codelet_7hw4mhgq",6.43329e+11,2,10,51826095.97,66151640.5
"lu","codelet_7ztudex2",1.09677e+12,1,10,52541729.46,73162221
"mg","codelet_9guj5g8w",33843900000,2,10,170135898.35,169738283
"bt","codelet_9salavfj",8.85494e+11,201,10,1269006562.23,1290041539.23881
"lu","codelet_a5i9q5oc",1.09677e+12,25000,10,5149327.15,5270938.79576
"cg","codelet_ah8c616d",3.81766e+11,1,10,69408519.07,67461372
"ft","codelet_ajh8suhy",1.99525e+11,270336,10,59505.82,467230.693155924
"sp","codelet_alcg4uf1",6.43329e+11,1,10,52370889.12,78236147
"lu","codelet_bdcevv5m",1.09677e+12,25000,10,5644995.73,5429075.0602
"ft","codelet_bfvnd0aj",1.99525e+11,1,10,1661626001.64,1362274210
"sp","codelet_ciposq9y",6.43329e+11,402,10,135239355.57,134422728
"is","codelet_cwibzte7",38775300000,1,10,10314799108.13,10679153749
"sp","codelet_e3rjjpkq",6.43329e+11,402,10,122036153.03,123527422.798507
"mg","codelet_e77x2p6t",33843900000,147,10,127086157.55,20192055.5646259
"mg","codelet_eh02x069",33843900000,4,10,84678623.59,77627888.25
"sp","codelet_el0upqbv",6.43329e+11,402,10,51527192.42,50312275.1069652
"lu","codelet_f5scgu90",1.09677e+12,1,10,89826725.12,114170562
"bt","codelet_f5wo0uxw",8.85494e+11,1,10,52653562.06,78362735
"cg","codelet_ffhehgar",3.81766e+11,1,10,52049115.69,65740345
"lu","codelet_gowmx4sy",1.09677e+12,25000,10,11064993.28,8975118.68132
"lu","codelet_id2f9qxy",1.09677e+12,251,10,193459364.89,198549272.027888
"lu","codelet_id4su9eh",1.09677e+12,1,10,185279612.87,187264869
"mg","codelet_j5k2371m",33843900000,170,10,369316899.93,99454617.1882353
"bt","codelet_jbbvz7xk",8.85494e+11,202,10,128778823.58,130144572.985149
"mg","codelet_jhez9gww",33843900000,2,10,140344556.55,104783173
"bt","codelet_jxc4wc0u",8.85494e+11,1,10,51583665.76,51444030
"bt","codelet_k2brr96z",8.85494e+11,202,10,172584452.37,170567858.618812
"sp","codelet_k2ftuhal",6.43329e+11,401,10,256005148.52,247325232.740648
"sp","codelet_l044uhir",6.43329e+11,401,10,50921972.53,50368637.1920199
"sp","codelet_lwazhy7r",6.43329e+11,402,10,72908812.9,70668510.0820896
"is","codelet_lwgg2vdo",38775300000,11,10,1834260939.28,1832789330
"sp","codelet_n3f9ckan",6.43329e+11,401,10,74869586.44,73705731.1645885
"bt","codelet_n94ixut8",8.85494e+11,202,10,134772876.15,134938574.742574
"sp","codelet_n9k4kgux",6.43329e+11,401,10,50880288.58,50326345.4563591
"bt","codelet_npabl6hq",8.85494e+11,202,10,51845289.32,49883305.9455446
"sp","codelet_nrpad2bf",6.43329e+11,402,10,161650721.76,158511038.952736
"lu","codelet_nzbfxce7",1.09677e+12,251,10,156380210.36,159325077.605578
"sp","codelet_o8g6pwm1",6.43329e+11,401,10,91745959.58,89711890.9376559
"sp","codelet_ocwkgsmf",6.43329e+11,1,10,51776406.88,51316298
"bt","codelet_oo8c273h",8.85494e+11,2,10,52573717.24,64641093
"lu","codelet_p6nf3vla",1.09677e+12,1,10,164110183.16,179810697
"sp","codelet_p8woixip",6.43329e+11,401,10,179742014.98,169916158.102244
"lu","codelet_pixsirbt",1.09677e+12,25000,10,11199344.31,10394401.38484
"cg","codelet_psux6bds",3.81766e+11,1,10,660769558.57,950883989
"is","codelet_qbx4gern",38775300000,1,10,88026322.56,73705830
"bt","codelet_rbjjtmtw",8.85494e+11,201,10,69734550.71,68641691.2636816
"bt","codelet_salgyh4a",8.85494e+11,202,10,89278850.87,92739324.460396
"lu","codelet_syvfdqbb",1.09677e+12,1,10,169458273.05,175854305
"sp","codelet_tw2jfd61",6.43329e+11,401,10,149888919.84,139683876.880299
"sp","codelet_un3n5c0a",6.43329e+11,1,10,24578861.12,25781074
"is","codelet_v392t8ky",38775300000,1,10,227929992.07,299066790
"lu","codelet_vdku9m9a",1.09677e+12,251,10,279859258.69,283161517.446215
"bt","codelet_vp8kou9q",8.85494e+11,202,10,72959235.47,70749047.2079208
"bt","codelet_y3z9unfb",8.85494e+11,202,10,83389960.72,83262059.7970297
"lu","codelet_yl02rn5o",1.09677e+12,251,10,113775949.1,113540685.258964
"is","codelet_zds65i92",38775300000,1,10,8664217973.4,8651632121
"bt","codelet_zdssy5el",8.85494e+11,201,10,1112709659.05,1201557774.61692
"sp","codelet_ztezhmhm",6.43329e+11,402,10,94151043.58,92509103.1169154
"bt","codelet_zvxgk4ke",8.85494e+11,1,10,24201688.94,25269354
